Name,Address,State,City,Phone,Email,PPN
A B C Hospital,Assured Best Care Hospital P Ltd  # 1  Malligai Salaiannamalai Nagar  Annamalai Nagar Main Road,Tamil Nadu,Trichy,0431 - 2760859 / 2750238 / 2750239 / 4077111,creditcell@abchospital.in,No
A C Hospital,No.8 Iiird Main Road United India Nagar Ayanavaram,Tamil Nadu,Chennai,44-26743052/ 26749989,drlakshi@yahoo.co.in,No
A G Padmavathis Hospital Limited,R.S. No. 127/1a/1a/Ia/1  Villiyanoor Main Road  Arumbarthapuram  Pondicherry,Pondicherry,Pondicherry,0413 - 2295500 / 2292229,AGPHOSPITAL_PRO@YAHOO.IN,No
A J Hospital,Kazhakuttam  Trivandrum,Kerala,Thiruvananthapuram,3044658,ajhospital85@gmail.com,No
A J Hospital And Research Centre,Mangalore-Udupi Highway  Kuntikana  Mangalore-575004  Mangalore,Karnataka,Mangalore,0824 - 2225534 / 2225535,ajcorpdesk1@gmail.com,No
A K N Nursing Homes,20  Kellys Road  Kilpauk,Tamil Nadu,Chennai,044 - 26445015 / 26440665,akn.akn10@gmail.com,No
A N N Hospital,81-85  Annai Therasa Street  Valasaravakkam  Indira Nagar,Tamil Nadu,Chennai,044 - 24869300 / 01 / 02 / 03,annhospitals@gmail.com,Yes
A V Hospital,No.97  Solaiappan Street  Chennai,Tamil Nadu,Chennai,044 - 25955859,drselvaraj@avhospitals.com,Yes
Aadithya Adhikari Hospital,Contour Road   Gokulam,Karnataka,Mysore,0821 - 2512532 / 2513532,harish_aditya2003@yahoo.com,No
Aakash Hospital,90/43  Malviya Nagar  New Delhi,Delhi,New Delhi,011 - 41830822 / 41830844 / 41831922,info@aakashhospital.com,Yes
Aakash Hospital,395  Tondairpet High Road  Thiruvottiyur  Chennai - 600019,Tamil Nadu,Chennai,044 - 25730099 / 25730044/42034109,aakashsrkdr@gmail.com,Yes
Aarogya Hospital,No. 32  Chitra Vihar  Vikas Marg  Behind Lakshmi Nagar District Centre,Delhi,New Delhi,011 - 22448008 / 22043893,avhrc@rediffmail.com,Yes
Aarogya Hospital,Opp.Kuber Appt. Near Ashoka Tower Chowk  Shankar Nagar,Chattisgarh,Raipur,0771 - 4044115 / 4265115,aarogya_raipur@yahoo.com,No
Aarogya Hospital,Nh-1  Sector 6  Vaishali,Uttar Pradesh,Ghaziabad,0120 - 4112222 / 4300072,tpa@aarogyahospital.com,Yes
Aasha Hospital,# 7/201  Court Road  Anantapur  Anantapur,Andhra Pradesh,Anantapur,08554 - 274194 / 237818,kedarnathstar@gmail.com,No
Aashirwad Hospital,Om Shardha Towers  2nd Floor  Above Thane Janata S  Kalyan (E) Thane  Kalyan (W),Maharashtra,Mumbai,0251 - 2358075,aashirwadkalyan@gmail.com,Yes
Aashray Urology Institute,# 80/A  Sampatrao Colony  Off R C Dutt Road,Gujarat,Vadodara,0265 - 2356295 / 3299449,ashit@aashrayuro.com,No
Aastha Health Care,Mulund Colony  Opp Lbs Road  Opp Chheda Petrol Pump  Mulund (W),Maharashtra,Mumbai,022 - 25628262 / 63 / 64 / 65,admin@aasthahealthcare.com,Yes
Aastha Lok Hospital Pvt Ltd,N/4  Professor Colony  Near Kendiya Vidyalaya  Kankarbagh  Patna,Bihar,Patna,612-3212153/54,AASTHALOKHOSPITAL@GMAIL.COM,No
Aayug Multi Specialty Hospital,# 477 1st Main  B Block Aecs Layout  Kundanahalli,Karnataka,Bengaluru,80-65989427 / 65705051,medicaldir@aayug.in,Yes
Aayush Nri Lepl Health Care Pvt Ltd,48-13-3 & 3a Opp.Siddharth Medical College Ring Road,Andhra Pradesh,Vijayawada,866-2541414,aayushhospitals4u@gmail.com,No
Abhaya Bbc Childrens Hospital,2-1-569  Vidyanagar,Telangana,Hyderabad,040 - 27653266,abhayabbc@gmail.com,Yes
